datasheet_link,target_col,preprocessed_text
https://lumenart.com/images/alume/awl-01_specs.pdf,lighting,awl specifications material machined aluminum with stainless steel fasteners finish micro brushed with clear coat after fabrication before assembly mounting new construction mini jbox by lumenart remodel square jbox with round plaster ring or octagon box order optional asc canopy electrical etl indoor damp location listed led lamp by lumenart triac dimming ordering logic use matrix below to order complete fixture fixture lamping voltage v asc canopy lumenart ltd w th st chicago il phone fax www lumenart com options awl w led v awl w led lm optional asc canopy mini jbox by lumenart in in in in m c in in in awl awl asc frost cobalt blue amber glass 
https://lumenart.com/images/fabric/rdc/rdc_specs.pdf,lighting,rdc series specifications construction fabric laminated to self extin guishing vinyl transparent fire retardant applied after fabrica tion standard fabric choices lumenart s standard material selection is subject to change based on supplier availability it is common fo material manufac turers to be out of stock for long periods of time change or discontinue materials without notice based on market trends and or material availability bottom shielding removable white linen mounting mounts to octagon junction box or x junction box with round plaster adapter electrical etl listed dry location only dims with v triac and elv modifications contact local representatives or factory for size lamping lens or finish modifications lumenart ltd w th st chicago il phone fax www lumenartltd com rdc series lumenart ltd w th st chicago il phone fax www lumenartltd com ordering logic use matrix below to order complete fixture family model lamping volt led w ledw ledw ledw ledw ledw unv fabric fabric linen white cream champagne t an celery red grape green apple maize brown black silk platinum lt bronze copper tangelo black opaque fabric raw silk white lt bronze med bronze moss amaretto moonlight claret honey rdc round drum ceiling dia x h dia x h dia x h dia x h fabric trilam white cream antique tan brown kona green canary grey red orange lapis spice amber parsley wipedown options em linen silk rs tl rdc unv led k k k k in in in in in in in in in in in in rdcx rdc x rdcx rdcx 
https://lumenart.com/images/fabric/cyp/cyp_specs.pdf,lighting,cyp series specifications construction fabric laminated to self extin guishing vinyl transparent fire retardant applied after fabrica tion standard fabric choices lumenart s standard material selection is subject to change based on supplier availability it is common fo material manufac turers to be out of stock for long periods of time change or discontinue materials without notice based on market trends and or material availability bottom shielding matte white acrylic finishes metal hardware is available in satin nickel polished nickel bronze and black mounting mounts to octagon junction box or x junction box with round plaster adapter electrical etl listed dry location only specify or v lamps by others modifications contact local representatives or factory for size lamping lens or finish modifications lumenart w th st chicago il phone www lumenart com suspension cord longer lengths available stem in and segments longer lengths available cypx cypx cypx lumenart w th st chicago il phone www lumenart com ordering logic family model lamping cyp cylinder pendant cyp led w led w led w led w dia x high dia x high dia x high dia x high washable linen silk rs tl finish v v sn satin nickel pn pol nickel bz bronze bl black suspension bc black cord mb metal braid cord st stem fabric fabric linen white cream champagne t an celery red grape green apple maize chocolate black silk platinum lt bronze new copper orange black opaque fabric raw silk white lt bronze med bronze gold ginger moonlight coffee honey stone sunflower red fabric trilam white cream antique tan brown kona green canary grey red orange lapis amber spice med grey parsley dimming dim v triac el v color volt k k k k led c r i in in in in in in 
https://lumenart.com/images/designer/wlp_specs.pdf,lighting,wlp specifications construction extruded alumiunum and acrylic mounting mounts to octagon junction box or x junction box with round plaster adapter electrical etl listed dry location only field adjustable cables v dimming standard ordering logic lumenart ltd w th st chicago il phone fax www lumenartltd com wlp led w k unv finish polished chrome and silver paint 
https://lumenart.com/images/designer/wcp/wcp-s_specs.pdf,lighting,wcp s specifications construction real oak or walnut veneer over a wood core machined brass mounting mounts to octagon junction box dc driver mounts in electrical box electrical etl listed dry location only lumenart ltd w th st chicago il phone www lumenart com family model light source voltage dc led w v wcp s wcp s led w v k bc sb led options dc lm cri dims triac elv suspension cord in black finish satin brass sb cord bc black color temp k walnut oak wood ok oak wn wanut in in 
https://www.luminis.com/assets/Uploads/SPECS-MAYA-MA50-JULY2022-REV4.pdf,lighting,type quantity project catalog number model led light voltage finish option option option option selection luminis com luminaires may be altered for design improvement or discontinued without prior notice toll free fax email info luminis com labrosse pointe claire qc canada hr l luminis materials maya is made of corrosion resistant aluminum alloy with a copper cu content of less than the ma features a high efficiency led light engine mounted on a thick base integral to the housing shell designed with a heat sink pattern to optimize heat dissipation and luminaire efficacy electrical power supply standard driver is v dimming ready dims to with multi volt compatibility hz for models ll ll llwt lldw and v v for models ll ll operating temperature range of ºc to ºc ºf to ºf for models ll ll llwt lldw and ºc ºf to ºc ºf for models ll ll output over voltage protection output over current protection and output short circuit protection with auto recovery optional v available on selected models led optics type v light distribution via high performance optical lenses offered in k k k k see the cct options for details life hrs lb calculated projection from lm data finish five stage preparation process includes preheating of cast aluminum parts for air extraction polyester powder coating is applied through an electrostatic process and oven cured for long term finish mounting maximum weight lbs kg mounts on a standard mm octagonal electrical box with mm c c mounting holes fixture must be installed on a finished ceiling if installed with a stem and canopy certification certified and approved as per csa c no standard and ansi ul standard for wet location with cat mounting only canopy is not wet location rated ip photometric testing performed by an independent laboratory in accordance with ies lm standards at ºc ºf lumen depreciation in accordance with iesna lm standards ma ma s july rev ma series maya pendant standard heavy duty º hang straight swivel with ø mm canopy and universal mounting plate ø x mm x mm suspension stem with aircraft safety cable other lengths available on request specify stm with desired length cast aluminum led heat sink optical system assembly w tempered glass lens optional ø aluminum shade option s mm mm mm standard custom lenghts can be specified luminis com luminaires may be altered for design improvement or discontinued without prior notice toll free fax email info luminis com labrosse pointe claire qc canada hr l luminis july rev ma series maya typical photometry summary descriptive information ma ll typ total lms lumens total input watts at v w efficacy lumens watt bug b u g cutoff class full cutoff cct cri k maximum candela h v descriptive information ma ll typ total lms lumens total input watts at v w efficacy lumens watt bug b u g cutoff class full cutoff cct cri k maximum candela h v descriptive information ma ll typ total lms lumens total input watts at v w efficacy lumens watt bug b u g cutoff class full cutoff cct cri k maximum candela h v descriptive information ma ll typ total lms lumens total input watts at v w efficacy lumens watt bug b u g cutoff class full cutoff cct cri k maximum candela h v please visit our web site www luminis com for complete i e s formatted download data luminis com luminaires may be altered for design improvement or discontinued without prior notice toll free fax email info luminis com labrosse pointe claire qc canada hr l luminis july rev ma series maya standard colors wht snow white bkt jet black bzt bronze mst matte silver grt titanium gray dgt gun metal cht champagne sgt steel gray bgt english cream optional colors cs custom color ral ral color refer to color chart luminaire selection v v v v optional v v model voltage finish led light selection led light selection tunable white k cri led light selection warm dimming k cri suffix delivered lumens input watts ll typ ll typ ll typ ll typ suffix delivered lumens input watts llwt typ suffix delivered lumens input watts lldw typ ma tunable white warm dimming v input cct control v input cct intensity control k cct scale k k intensity cct scale k v v v input intensity control intensity scale v user can modify the correlated color temperature cct and intensity of the source using two slider controls or an intelligent lighting management system warm dimming v lowers the led temperature cct as it is dimmed the lower the brightness the warmer the cct led light selection k cri options notes luminaires are factory prewired for v unless otherwise specified v v requires selection of oversized canopy option tunable white warm dimming available for v only these options are offered with the oversized canopy not available with cat mounting and emlc ll and ll models only available with oversized canopy not available with cat mounting v v for models ll and ll is not available please consult factory for v v for models ll and ll available with oversized canopy v only installed in ø or ø canopy with stm refer to the mounting images for more details not compatible with cat emlc tunable white warm dimming white antenna available upon request electrical cct cri alternate cct ºk led lcf lumen conversion factor apply multiplier to listed values for lumens output reference ke k cri lcf ke k cri lcf ke k cri lcf ke k cri k k cri lcf k k cri lcf note other cct higher cri available please consult factory fs fuse sp kv surge protector mounting accessories emergency stm hang straight stem for custom lengths please add length in inches with option suffix for º hang straight swivel please consult factory cat catenary suspension attachment with º adjustment mechanism s shade ssc stabilizer cables emlc emlc integral battery backup for led min w max integral to luminaire within oversized ceiling canopy for models up to w only at v operating temperature range ºc to ºc ºf to ºf control nltair nlight air control gen embedded in canopy with black antenna for ida certification compliance luminaire must be ordered with k or warmer luminis com luminaires may be altered for design improvement or discontinued without prior notice toll free fax email info luminis com labrosse pointe claire qc canada hr l luminis july rev stm heavy duty º hang straight swivel with ø mm canopy and universal mounting plate ø x mm x mm suspension stem with aircraft safety cable other lengths on request specify stm with desired length shortest stem is inches long emlc emlc integral battery backup for led min w max available for models up to w ssc set of stabilizer cables ma series maya mounting electrical accessories canopy top view stem ø aircraft cable power cable in control cable in catenary junction box oversized canopy mandatory for emergency tunable white warm dimming models ll and ll and v selections when stm is selected cat cast aluminum catenary junction box with sealed connectors by luminis and pre inserted into housing ready to accept or stainless steel suspension cable weight lbs kg structural design power cable control cable stainless steel catenary cable cable fittings and fittings for mounting to support structure provided by others mm mm mm mm mm mm standard junction box opening mtg holes ø mm ø mm canopy top view mm mm junction box opening mtg holes ø mm ø mm angle adjustment mechanism power cable in conductor x gauge awg the cable glands located at the top can accommodate a cable ranging from mm mm control cable in the cable glands on the bottom can accomodate a cable ranging from mm mm luminis com luminaires may be altered for design improvement or discontinued without prior notice toll free fax email info luminis com labrosse pointe claire qc canada hr l luminis july rev nltair stm ø canopy with nlight air control gen and black antenna for the follwing light sources ll nltair stm ø canopy with nlight air control gen and black antenna for the follwing light sources ll ll ll ma series maya mounting canopy top view canopy top view mm mm junction box for reference mounting points on ceiling x mm mm mm mm mm mm mm junction box opening mtg holes ø mm ø mm 
https://www.luminis.com/assets/Uploads/SPECS-PRISMA-PR1280-PR1285-SEPT2022-REV4.pdf,lighting,type quantity project catalog number fixture wattage voltage finish option option option option luminis com luminaires may be altered for design improvement or discontinued without prior notice toll free fax email info luminis com labrosse pointe claire qc canada hr l luminis materials prisma is made of an extruded aluminum housing designed to optimize the functionality of the driver and solid state components prisma is available with a choice of two interchangeable reflectors aluminum reflector designed to optimize light source performance and uniformity diffused acrylic prismatic refractor with a linear peripheral pattern providing general upward illumination with efficient down lighting electrical driver standard driver is v dimming ready dims to with multi volt compatibility hz operating temperature range of ºc ºf to ºc ºf output over voltage protection output over current protection and output short circuit protection with auto recovery led standard k cct cri other ccts available from k to k optional cri for critical color rendering see electrical options life hrs lb calculated projection from lm data finish polyester powder coating is applied through an electrostatic process and oven cured for long term finish mounting maximum weight lbs kg mounts on a standard mm octagonal electrical box with mm c c mounting holes fixture must be installed on a finished ceiling for exterior applications and or when exposed to inclement weather certification certified and approved as per csa c no standard and ansi ul standard for damp location exception dmx models are dry location rated ip photometric testing per lm led light source with lm certified testing standard heavy duty º hang straight swivel with ø mm canopy and universal mounting plate ø mm x long mm suspension stem with aircraft safety cable other lengths available on request specify stm with desired length extruded aluminum driver housing pr diffused acrylic prismatic refractor pr aluminum reflector inner surface multi faceted specular anodized exterior surface satin anodized natural aluminum alternate exterior finish option rp mm mm pr mm pr mm pr pr pr pr series prisma pendant sept rev luminis com luminaires may be altered for design improvement or discontinued without prior notice toll free fax email info luminis com labrosse pointe claire qc canada hr l luminis pr pr series prisma pr pr typical photometry summary please visit our web site www luminis com for complete i e s formatted download data pr ll descriptive information total delivered lumens lumens input watts at v w efficacy lumens watt source led cct cri k cri maximum candela ºh ºv pr ll descriptive information total delivered lumens lumens input watts at v w efficacy lumens watt source led cct cri k cri maximum candela ºh ºv sept rev luminaire selection emergency reml remote mount battery backup for led min w remote mount to ft square enclosure with access cover emlc integral battery backup for led min w integral to luminaire within oversized ceiling canopy emlc integral battery backup for led min w integral to luminaire bc aluminum lower diffuser band same color as luminaire only available on pr dc diffused acrylic prismatic bottom conical lens loss factor approx cf clear acrylic flat bottom lens loss factor approx df diffused acrylic flat bottom lens loss factor approx rp inner reflector specular aluminum exterior same color as luminaire only available on pr accessories options refer to page for details model finish standard colors wht snow white bkt jet black bzt bronze mst matte silver grt titanium gray dgt gun metal cht champagne sgt steel gray bgt english cream optional colors cs custom color ral ral color refer to color chart v v v v optional v voltage finish led light selection electrical fs fuse amps cct options k supplied as standard apply multiplier to listed values for lumens output reference k k cct cri multiplier k k cct cri multiplier kd k cct min cri multiplier k k cct cri multiplier note other cct higher cri available please consult factory cat catenary suspension attachment with º adjustment mechanism ck surface ceiling mount stm longer hang straight stem please add length with option suffix spg silver braided power cord with adjustable aircraft safety cable length other lengths on request dspg silver braided power cord and gray dmx cable with adjustable aircraft safety cable other lengths on request ta npt conduit adaptor mounting dmx rdm dmx rdm control dim to dark not available on ll housing increases by important mounting must be selected choose between stm dspg or ck nltair nlight air control gen embedded in canopy with black antenna control notes luminaires are factory prewired for v unless otherwise specified default dimming curve logarithmic factory set to address one unless otherwise specified refer to dmx reference guide for more information available on website surface ceiling mount extends oah of fixture by mm if dmx rdm option is selected stm maximum length is mm dspg option is only available if dmx rdm option is selected emlc not available with ck cat or ta options housing will increase by not available on ll not appliable for v v only installed in ø canopy with stm spg refer to the mounting image for more details not compatible with dmx rdm reml emlc emlc cat ck ta white antenna available upon request suffix delivered lumens input watts cri cct ºk ll ll ll ll k ll ll suffix delivered lumens input watts cri cct ºk ll ll ll ll k ll ll luminis com luminaires may be altered for design improvement or discontinued without prior notice toll free fax email info luminis com labrosse pointe claire qc canada hr l luminis pr pr series prisma options mounting ck surface ceiling mounting option extends oah of fixture by mm stm heavy duty º hang straight swivel with ø mm canopy and universal mounting plate ø mm x lg mm suspension stem with aircraft safety cable other lengths on request specify stm with desired length note if dmx rdm is selected maximum length is mm spg x lg silver braided power cable c w on site adjustable aircraft safety cable longer cable available on request ta npt suspension conduit adaptor conduit by others supplied with x ga x lg wiring longer wires to be specified mounting mounting dspg x lg silver braided power cable c w lg gray dmx rs cable on site adjustable aircraft safety cable longer cable available on request only available if dmx rdm option is selected sept rev cat cast aluminum catenary junction box with sealed connectors for mm mm power cable ready to accept or stainless steel suspension cable weight lbs kg structural design power cable control cable stainless steel catenary cable cable fittings and fittings for mounting to support structure provided by others pr mm pr mm ø or ø aircraft cable mm power cable in control cable in catenary junction box angle adjustment mechanism power cable in conductor x gauge awg the cable glands located at the top can accommodate a cable ranging from mm mm control cable in the cable glands on the bottom can accomodate a cable ranging from mm mm mm nltair stm spg ø canopy with nlight air control gen and black antenna for the follwing light sources ll ll ll ll ll ll canopy top view ø mm mm mm junction box for reference mounting points on ceiling x mm mm mm luminis com luminaires may be altered for design improvement or discontinued without prior notice toll free fax email info luminis com labrosse pointe claire qc canada hr l luminis pr pr series prisma options accessories dc diffused acrylic prismatic bottom conical lens with nickel plated clamp ring cf clear acrylic flat bottom lens with nickel plated clamp ring pr only bc aluminum lower diffuser band same color as luminaire df diffused acrylic flat bottom lens with nickel plated clamp ring pr only rp inner reflector specular aluminum exterior same color as luminaire exterior same color as luminaire electrical reml w remote mount v emergency battery pack test switch provided within enclosure with mm leads junction box opening ø mm mtg holes ø mm mm emlc w canopy mount integral v emergency battery pack canopy top view ø mm mm mm max distance ft m mm mm mtg holes ø mm sept rev 
https://www.signify.com/api/assets/v1/file/Signify/content/ec883b13a3904ee19257aa56008132ca/Stonco_AreaLight_SpecSheet_0221.pdf,lighting,stonco_arealight_specsheet www stonco com page of optical system type and distributions available led thermal management the housing design allows the one piece housing to provide excellent thermal management critical to long led system life infrared motion response integral imri module is a passive infrared pir motion sensor mounted integral on driver enclosure and is available with a sensor lens type to accommodate mounting heights up to and occupancy coverage area up to sq ft in diameter motion response for option imri is set operates in the following fashion when motion is detected by the pir sensor the luminaire goes to full power light output dimming on low is factory set to with minute default in full power prior to dimming back to low when no motion is detected for minutes the motion response system reduces the wattage by to of the normal constant wattage reducing the light level mounting standard luminaire arm mounts to square poles round pole adapter included with every luminaire designed for od poles energy saving benefits system efficacy up to lms w with significant energy savings over pulse start metal halide luminaires listings ul cul listed to the ul standard suitable for wet locations suitable for use in ambient from to c to f all product configurations are designlights consortium qualified finish each luminaire receives a fade and abrasion resistant electrostatically applied thermally cured triglycidal isocyanurate tgic textured polyester powdercoat finish standard color is bronze bz limited warranty luminaires led arrays and drivers are all covered by a year limited warranty see philips com warranties for details ordering guide luminaire al wattage led color generation nw g mounting ar distribution voltage controls finish bz al area light w w nw g neutral white k cri generation ar arm mounting type type type volts no motion sensor imri motion sensor bz bronze mounts to a square pole adapter included for round poles imri is available with al type only available only in w product specifications housing aluminum die cast housing with attachable arm arm has removable cover for ease of wire connection ip rating led light engine rated ip driver compartment rated to ip vibration resistance g vibration rating that conforms to standards set forth by ansi c testing includes vibration to g acceleration in all three axes electrical driver efficiency at full load available in v ip compliant driver rohs compliant surge protector standard ka per ansi ieee c led board and array or leds color temperature k k minimum cri of metal core substrate the stonco area light features energy saving led technology ideal for pole mounted area lighting applications the area light is available with type and distributions in three lumen packages providing up to lumens project location cat no type notes site area area light al al al example al nw g ar bz stonco_arealight_specsheet www stonco com page of led wattage and lumen values wattage and lumen output may vary by due to led manufacturer forward volt specification and ambient temperature wattage shown is average for v through v input measured wattage may vary due to variation in input voltage lumen values based on photometric tests performed in compliance with iesna lm contact outdoorlighting applications philips com for details or additional information ordering codes total leds system current ma color temp k avgerage system wattage type type type lumen output bug rating efficacy lpw lumen output bug rating efficacy lpw lumen output bug rating efficacy lpw al nw g ar k b u g b u g b u g al nw g ar k b u g b u g b u g predicted lumen depreciation data predicted performance derived from led manufacturer s data and engineering design estimates based on iesna lm methodology actual experience may vary due to field application conditions l is the predicted time when led performance depreciates to of initial lumen output calculated per iesna tm published l hours limited to times actual led test hours ambient temperature c led current system current calculated lhrs l per tm lumen maintenance hrs c ma ma c ma ma predicted performance derived from led manufacturer s data and engineering design estimates based on iesna lm methodology actual experience may vary due to field application conditions l is the predicted time when led performance depreciates to of initial lumen output calculated per iesna tm published l hours limited to times actual led test hours dimensions pole top fitter mm mm mm mm mm mm ø ømm ø ømm pole drill template mm luminaire epa ft m luminaire weight lbs kg luminaire weight lbs kg mm mm mm mm mm c l pole top fitter fits to od x depth tenon for up to luminaires at order code ptf al al bz ø ø mm mm mm mm led area light up to lumens signify holding all rights reserved the information provided herein is subject to change without notice signify does not give any representation or warranty as to the accuracy or completeness of the information included herein and shall not be liable for any action in reliance thereon the information presented in this document is not intended as any commercial offer and does not form part of any quotation or contract unless otherwise agreed by signify all trademarks are owned by signify holding or their respective owners signify north america corporation franklin square drive somerset nj telephone signify canada ltd hillmount road markham on canada lc s telephone www stonco com stonco_arealight_specsheet page of al al 
https://www.signify.com/api/assets/v1/file/Signify/content/10ceff00c2bb48c4856daccf00bb0614/Stonco_SL_G2_SpecSheet.pdf,lighting,security light spec sheet page of general description led security light combines economy with efficiency and is provided with led technology that offers significant savings over traditional incandescent security luminaires ideal for security building entryways and walkways it s reliable led technology ensures maintenance free installation and a long lifetime led security light can also be used throughout corridors for added security and illumination sensor pir motion sensor integrated to the luminaire with adjustable sensitivity time delay and lux electrical v v driver rohs compliant optical system polycarbonate reflector sealing with silicone gasket glass diffuser typical cri mounting standard luminaire provided with galvanized mounting bracket mounts directly over a recessed j box listings dlc standard listed ul listed to the ul standard suitable for wet locations finish each luminaire receives a powdercoat finish can chose between black bk and white wh color limited warranty led wall light luminaires feature a year limited warranty see signify com warranties for details product specifications the stonco led security light is an economical solution delivering the right light required for commercial or residential applications it s reliable led technology ensures maintenance free installation and a long lifetime project location cat no type notes wall mount led security light select sl security light ordering guide luminaire sl color temperature sct generation g options voltage finish sl sl security light sct cct selectable k k k g generation integrated motion and daylight sensor v bk black wh white example sl sct g bk security light spec sheet page of led wattage and lumen values predicted lumen depreciation data predicted performance derived from led manufacturer s data and engineering design estimates based on iesna lm methodology actual experience may vary due to field application conditions l is the predicted time when led performance depreciates to of initial lumen output calculated per iesna tm published l hours limited to times actual led test hours dimensions sl security light wattage and lumen output may vary by due to led manufacturer forward volt specification and ambient temperature wattage shown is average for v input measured wattage may vary due to variation in input voltage lumen values based on photometric tests performed in compliance with iesna lm note contact outdoorlighting applications philips com for details or additional information ordering codes total leds system current ma color temp k average system wattage lumen output efficacy lpw sl sct g bk v ambient temperature c led current ma calculated l hrs l per tm lumen maintenance hrs c predicted performance derived from led manufacturer s data and engineering design estimates based on iesna lm methodology actual experience may vary due to field application conditions l is the predicted time when led performance depreciates to of initial lumen output calculated per iesna tm published l hours limited to times actual led test hours 江 达 莱 特 照 明 器 科 技 有 限 公 司 j ia n g s u d a l it e el ec t r ic a l t ec h o l o g y c o l t d mm ømm ø ømm mm mm signify holding all rights reserved the information provided herein is subject to change without notice signify does not give any representation or warranty as to the accuracy or completeness of the information included herein and shall not be liable for any action in reliance thereon the information presented in this document is not intended as any commercial offer and does not form part of any quotation or contract unless otherwise agreed by signify security light spec sheet page of signify north america corporation crossing blvd suite bridgewater nj telephone signify canada ltd hillmount road markham on canada lc s telephone all trademarks are owned by signify holding or their respective owners www stonco com 
https://www.signify.com/api/assets/v1/file/PhilipsLighting/content/6ca1e3b42ddf4edbb225aa4c00cda78f/Stonco_SlimFlood_TF.pdf,lighting,stonco_slimflood_specsheet page of product specifications stonco led slim flood is your best value for discreet and modern design on your floodlighting projects versatile and stylish with six different sizes to choose from slim flood provides application flexibility for ground wall or pole mount installations ideal for sign lighting building facades security lighting and general purpose floodlighting applications the discreet low profile design will not interfere with your landscape layouts project location cat no type notes ordering guide example tf nw g y fl bz luminaire led color generation g mounting distribution fl voltage finish bz tf led slimflood w tf led slimflood w tf led slimflood w ww³ warm white cri nw neutral white k cri cw cool white k cri g generation k knuckle ½ nps male and yoke mount combination fl flood vac bz bronze tf led slimflood w tf led slimflood w tf led slimflood w nw neutral white k cri cw cool white k cri y yoke mount only k knuckle mount and yoke mount combination available with tf tf tf y yoke mount only available with tf tf tf ww warm white only available with tf tf tf housing and heat sink single piece die cast aluminum alloy housing also acts as a heat sink designed to ensure high efficacy and superior cooling by natural convection air flow pattern always close to leds and driver optimizing their efficiency and life product does not use any cooling device with moving parts only passive cooling mounting suitable for mounting within m of the ground knuckle k see ordering guide k mounting option provides a unique in combo includes a versatile yoke bracket for flat surfaces as well as nps knuckle mounting for easy connection to electrical junction boxes ships fully assembled with m long power cord yoke y see ordering guide integral structural steel adjustable yoke y for direct surface mounting painted for resistance to corrosion with bolt to lock in aiming angle ships fully assembled ready to install three foot or m watertight stw gauge cord exits out of housing for connection by others ip liquid tight connector to seal cord exit point lens heat and impact resistant tempered glass lens and electronics compartment providing an ip seal lens secured with silicone seal and clips lens includes silk screen for aesthetic purposes ik rating ik impact resistance rating for lens surge protection provided integral inside driver w kv w kv light engine composed of main components led module optical system driver electrical components are rohs compliant leds tested by iso accredited lab in accordance with iesna lm guidelines extrapolations in accordance with iesna tm metal core substrate ensures greater heat transfer and longer lifespan led module composed of mid power performance white leds color temperature as per ansi nema bin neutral white kelvin nominal warm white kelvin nominal cool white kelvin nominal k or k to k cri min optical system flood distribution optimized for target lumens and a superior lighting uniformity photometric performance shall be tested per lm iesna certifying its photometric performance and published in accordance with lm driver high power factor of min electronic driver operating range hz class or class wiring insulated internal wiring located inside the housing silicone seals all places where wiring passes through openings including sealed where it exits the luminaire for knuckle and trunnion mount due to the inrush current that occurs with electronic drivers recommend using a time delay or slow blow fuse to avoid unnecessary and unwanted fuse blowing that can occur with fast acting fuses hardware all exposed screws shall be stainless steel and or corrosion resistant and captive all seals and sealing devices are made and or lined with epdm and or silicone and or rubber finish fade and abrasion resistant electrostatically applied thermally cured triglycidal isocyanurate tgic polyester powdercoat textured bronze finish led products manufacturing standard the electronic components sensitive to electrostatic discharge esd such as light emitting diodes leds are assembled in compliance with ec and ansi esd s standards so as to eliminate esd events that could decrease the useful life of the product vibration resistance knuckle and yoke mounts meet the ansi c luminaire vibration specifications for normal applications g certifications and compliance cetlus listed for canada and usa designlights consortium qualified entire luminaire is rated for operation in ambient temperature of c f up to c f ip rating entire luminaire including light engine and driver electrical compartment ip rated in all aiming positions including upward aiming floodlighting applications limited warranty year limited warranty see signify com warranties for details and restrictions visit our ecatalog or contact your local sales representative for more information floodlights slim flood tf stonco_slimflood_specsheet page of tf slim flood led floodlights w dimensions tf tf tf tf tf mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm m mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm stonco_slimflood_specsheet page of dimensions tf usfbrz mounting adapter for trunnion fits o d tenon bronze finish accessory ordered separately field installed epa and weight effective projected area epa ft product aim aim aim weight tf nw g k fl bz lbs kg tf nw g k fl bz lbs kg tf nw g k fl bz lbs kg tf nw g y fl bz lbs kg tf nw g y fl bz lbs kg tf nw g y fl bz lbs kg tf tf mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm tf slim flood led floodlights w stonco_slimflood_specsheet page of led wattage and lumen values predicted lumen depreciation data predicted performance derived from led manufacturer s data and engineering design estimates based on iesna lm methodology actual experience may vary due to field application conditions l is the predicted time when led performance depreciates to of initial lumen output calculated per iesna tm published l hours limited to times actual led test hours ambient temperature c system current l per tm lumen maintenance hrs c ma l is the predicted time when led performance depreciates to of initial lumen output calculated per iesna tm published l hours limited to times actual led test hours wattage and lumen output may vary by due to led manufacturer forward volt specification and ambient temperature wattage shown is average for v through v input actual wattage may vary by an additional due to actual input voltage lumen values based on photometric tests performed in compliance with iesna lm ordering codes total leds led current ma color temp k average system wattage lumen output efficacy lpw tf nw g k fl bz tf nw g k fl bz tf nw g k fl bz tf nw g y fl bz tf nw g y fl bz tf nw g y fl bz tf ww g k fl bz tf ww g k fl bz tf ww g k fl bz tf cw g k fl bz tf cw g k fl bz tf cw g k fl bz tf cw g k fl bz tf cw g k fl bz tf cw g k fl bz tf slim flood led floodlights w the information presented in this document is not intended as any commercial offer and does not form part of any quotation or contract signify holding all rights reserved the information provided herein is subject to change without notice signify does not give any representation or warranty as to the accuracy or completeness of the information included herein and shall not be liable for any action in reliance thereon the information presented in this document is not intended as any commercial offer and does not form part of any quotation or contract unless otherwise agreed by signify stonco_slimflood_specsheet page of signify north america corporation franklin square drive somerset nj telephone signify canada ltd hillmount road markham on canada lc s telephone all trademarks are owned by signify holding or their respective owners www stonco com 
